,translate,tactic,media_dist,citizen_dist,epsilon,graph_type,ba-m,repetition,lr-intercept,lr-slope,var,start,end,delta,max,polarized
3,0,broadcast-brain,uniform,normal,0,barabasi-albert,3,1,2.990029642305043,0.025485524807580456,0.18100461,3.0252779,4.071444,1.0461662,4.1934443,1
4,0,broadcast-brain,uniform,normal,1,ba-homophilic,3,0,3.636178799164601,0.06897236854242524,0.6329959,3.0722222,6.6914444,3.6192222,6.7318892,1
5,0,broadcast-brain,uniform,normal,1,ba-homophilic,3,1,2.7719339855116414,0.03997723711022425,0.97727734,2.3586109,4.971667,2.613056,4.971667,1
6,0,broadcast-brain,uniform,normal,1,barabasi-albert,3,0,3.8015637638701936,0.05471370058361761,0.70971936,3.0763888,6.170722,3.0943332,6.1751666,1
7,0,broadcast-brain,uniform,normal,1,barabasi-albert,3,1,4.1212448962313735,0.020126197176281686,0.38071445,3.2689998,4.894778,1.625778,5.0391665,1
8,0,broadcast-brain,uniform,normal,2,ba-homophilic,3,0,3.742684094794375,0.05492592468520636,0.329722,2.8282223,6.113889,3.285667,6.113889,1
9,0,broadcast-brain,uniform,normal,2,ba-homophilic,3,1,3.703360638467435,0.11347006474145398,2.3572621,2.8968887,8.642112,5.745223,8.642112,1
10,0,broadcast-brain,uniform,normal,2,barabasi-albert,3,0,4.106571595233669,0.08771304035618298,0.5670863,3.6066666,7.769889,4.1632223,7.8945,1
11,0,broadcast-brain,uniform,normal,2,barabasi-albert,3,1,3.8784897050526705,0.05585217717546143,0.6398156,2.99,6.314222,3.3242218,6.314222,1
16,0,broadcast-brain,uniform,uniform,1,ba-homophilic,3,0,9.458281530693824,0.013900719638323893,0.558287,9.509111,10.013722,0.504611,10.197333,1
18,0,broadcast-brain,uniform,uniform,1,barabasi-albert,3,0,10.337737401326496,0.04952091665828929,0.30826387,9.860833,12.556111,2.6952782,12.556111,1
23,0,broadcast-brain,uniform,uniform,2,barabasi-albert,3,1,10.114553606168537,0.027686223595390497,0.27126205,9.540611,11.333445,1.7928333,11.495444,1
24,0,broadcast-brain,uniform,polarized,0,ba-homophilic,3,0,12.153276829697967,0.02093785928924699,0.8268494,11.969221,12.802834,0.83361244,13.172444,1
72,0,broadcast-brain,polarized,normal,0,ba-homophilic,3,0,2.7503964224911743,0.01803995814258696,0.17930825,2.6382222,3.5357776,0.89755535,3.5835557,1
73,0,broadcast-brain,polarized,normal,0,ba-homophilic,3,1,3.5311442212641326,0.024460855199201076,1.2600961,3.305278,4.528111,1.2228329,4.563889,1
74,0,broadcast-brain,polarized,normal,0,barabasi-albert,3,0,2.7670433194029567,0.029872820798088524,0.23979281,2.5881667,4.079,1.4908333,4.0817776,1
75,0,broadcast-brain,polarized,normal,0,barabasi-albert,3,1,2.8484154635784673,0.04273375118480009,0.7556548,2.7282777,4.7889442,2.0606666,4.822,1
76,0,broadcast-brain,polarized,normal,1,ba-homophilic,3,0,4.3497325820261175,0.06476747042453128,0.19432487,3.1215,6.677167,3.555667,7.0356665,1
77,0,broadcast-brain,polarized,normal,1,ba-homophilic,3,1,3.553503703387794,0.05806765114020438,0.45548466,2.6212776,5.9416666,3.320389,6.0639997,1
78,0,broadcast-brain,polarized,normal,1,barabasi-albert,3,0,3.6335690738928266,0.055717454733352316,0.45467013,2.9332776,6.108778,3.1755004,6.3143334,1
79,0,broadcast-brain,polarized,normal,1,barabasi-albert,3,1,4.019861557904411,0.08725730054518756,0.15456432,2.9339442,7.6999445,4.7660003,7.783667,1
80,0,broadcast-brain,polarized,normal,2,ba-homophilic,3,0,4.879645949575156,0.10271978102118723,0.31921113,2.8844445,8.644388,5.759944,9.022611,1
81,0,broadcast-brain,polarized,normal,2,ba-homophilic,3,1,4.569973996501883,0.1565432167268986,0.5147605,2.9295557,11.306445,8.376889,11.306445,1
82,0,broadcast-brain,polarized,normal,2,barabasi-albert,3,0,4.522335462440732,0.044281396175401784,1.6440448,3.1312222,6.244722,3.1134996,6.320722,1
83,0,broadcast-brain,polarized,normal,2,barabasi-albert,3,1,5.429779661367022,0.09542175420269168,0.86185753,3.1439445,9.1185,5.974555,9.399722,1
88,0,broadcast-brain,polarized,uniform,1,ba-homophilic,3,0,11.101979905843375,0.015570645224454718,0.23784925,10.99,11.514111,0.5241108,11.780611,1
93,0,broadcast-brain,polarized,uniform,2,ba-homophilic,3,1,11.378040160528673,0.020258788458362428,0.9004403,10.793111,12.223278,1.4301672,12.381666,1
100,0,broadcast-brain,polarized,polarized,1,ba-homophilic,3,0,11.935121237782152,0.028125306642972515,1.1106613,11.349777,13.470332,2.120555,13.537443,1
104,0,broadcast-brain,polarized,polarized,2,ba-homophilic,3,0,13.247993086617816,0.044030604988201716,0.6698621,12.243055,14.870333,2.6272774,15.120166,1
105,0,broadcast-brain,polarized,polarized,2,ba-homophilic,3,1,12.658916036827351,0.03057036706225365,1.675786,12.130722,13.727667,1.5969448,14.077278,1
